R1	R2	R3	P1	P2	P3	P4	P5	A	B	C	D	E	Distr	Type	T_min	T_max	Formula	Number	n3	n4	comment	enthalpy
SiC4H	CRP		Si	C4H				2000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	30	1	1		
SiC6H	CRP		Si	C6H				2000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	31	1	1		
SiC8H	CRP		Si	C8H				2000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	32	1	1		
CH2CHC2H	CRP		C	CH3CCH				2000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	33	1	1		
CH2CHCHCH2	CRP		C	CH3CHCH2				2000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	34	1	1		
CH+	CRP		H	C+				112.0	0.0	0.0	0.0	0.0	logn	2	-9999.0	9999.0	1	35	1	2		
CH+	CRP		C	H+				64.0	0.0	0.0	0.0	0.0	logn	2	-9999.0	9999.0	1	36	1	2		
HS	CRP		H	S				500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	37	1	1		
MgH	CRP		H	Mg				500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	38	1	1		
NaH	CRP		H	Na				500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	39	1	1		
NH	CRP		H	N				500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	40	1	1		
NO	CRP		N	O				482.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	41	1	1		
NO	CRP		NO+	e-				494.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	42	1	1		
NS	CRP		N	S				500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	43	1	1		
O2	CRP		O	O				750.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	44	1	1		
O2	CRP		O2+	e-				117.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	45	1	1		
OH	CRP		H	O				510.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	46	1	2		
PH	CRP		H	P				500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	47	1	1		
PN	CRP		N	P				500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	48	1	1		
PO	CRP		O	P				500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	49	1	1		
S2	CRP		S	S				500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	50	1	1		
SiC	CRP		C	Si				500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	51	1	1		
SiH	CRP		H	Si				500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	52	1	1		
SiN	CRP		N	Si				500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	53	1	1		
SiO	CRP		O	Si				500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	54	1	1		
SiS	CRP		S	Si				500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	55	1	1		
SO	CRP		O	S				500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	56	1	1		
CCH	CRP		H	C2				5000.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	57	1	1		
CCN	CRP		C	CN				1000.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	58	1	1		
CCS	CRP		C	CS				1500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	59	1	1		
C3	CRP		C	C2				1120.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	60	1	1		
CCO	CRP		O	C2				750.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	61	1	1		
CCO	CRP		C	CO				750.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	62	1	1		
CCP	CRP		P	C2				750.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	63	1	1		
CCP	CRP		C	CP				750.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	64	1	1		
CH2	CRP		CH2+	e-				500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	65	1	1		
CO2	CRP		O	CO				1710.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	66	1	1		
H2O	CRP		H	OH				970.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	67	1	1		
H2S	CRP		H2S+	e-				1700.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	68	1	1		
H2S	CRP		S	H2				5150.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	69	1	1		
HCN	CRP		H	CN				3120.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	70	1	1		
HCO	CRP		H	CO				421.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	71	1	1		
HCO	CRP		HCO+	e-				1170.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	72	1	1		
HCP	CRP		H	CP				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	73	1	1		
HCS	CRP		HCS+	e-				1500.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	74	1	1		
HCSi	CRP		Si	CH				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	75	1	1		
HNC	CRP		H	CN				3000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	76	1	1		
HNO	CRP		HNO+	e-				1000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	77	1	1		
HNSi	CRP		H	SiN				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	78	1	1		
HPO	CRP		H	PO				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	79	1	1		
HSS	CRP		S	HS				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	80	1	1		
N2O	CRP		N	NO				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	81	1	1		
NaOH	CRP		Na	OH				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	82	1	1		
NH2	CRP		H	NH				80.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	83	1	1		
NH2	CRP		NH2+	e-				650.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	84	1	1		
NO2	CRP		O	NO				1500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	85	1	1		
O2H	CRP		O	OH				750.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	86	1	1		
O2H	CRP		H	O2				750.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	87	1	1		
OCN	CRP		O	CN				1500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	88	1	1		
OCS	CRP		S	CO				5350.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	89	1	1		
OCS	CRP		OCS+	e-				1440.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	90	1	1		
PH2	CRP		H	PH				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	91	1	1		
c-SiC2	CRP		C	SiC				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	92	1	1		
SiH2	CRP		H	SiH				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	93	1	1		
SiNC	CRP		Si	CN				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	94	1	1		
SiO2	CRP		O	SiO				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	95	1	1		
SO2	CRP		O	SO				1880.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	96	1	1		
C2H2	CRP		H	CCH				5150.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	97	1	1		
C2H2	CRP		C2H2+	e-				1310.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	98	1	1		
c-C3H	CRP		H	C3				5000.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	99	1	1		
l-C3H	CRP		H	C3				5000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	100	1	1		
C3N	CRP		C2	CN				1750.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	101	1	1		
C3O	CRP		C2	CO				6600.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	102	1	1		
C3P	CRP		C	CCP				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	103	1	1		
C3S	CRP		C2	CS				1500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	104	1	1		
C4	CRP		C2	C2				250.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	105	1	3		
C4	CRP		C	C3				750.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	106	1	3		
CH3	CRP		H	CH2				500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	107	1	1		
CH3	CRP		CH3+	e-				500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	108	1	1		
H2CO	CRP		CO	H2				2660.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	109	1	1		
H2CS	CRP		CS	H2				1500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	110	1	1		
HOOH	CRP		OH	OH				1500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	111	1	1		
HSSH	CRP		HS	HS				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	112	1	1		
H2SiO	CRP		H2	SiO				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	113	1	1		
HCCP	CRP		H	CCP				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	114	1	1		
NH3	CRP		H2	NH				540.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	115	1	1		
NH3	CRP		H	NH2				1320.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	116	1	1		
NH3	CRP		NH3+	e-				575.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	117	1	1		
HCCSi	CRP		H	c-SiC2				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	118	1	1		
l-SiC3	CRP		C	c-SiC2				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	119	1	1		
SiCH2	CRP		H2	SiC				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	120	1	1		
SiH3	CRP		H	SiH2				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	121	1	1		
H2CCN	CRP		CN	CH2				5000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	122	1	1		
H2CCO	CRP		CO	CH2				915.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	123	1	1		
H2CCO	CRP		H2CCO+	e-				1220.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	124	1	1		
C2H3	CRP		H	C2H2				1500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	125	1	1		
c-C3H2	CRP		H	c-C3H				5000.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	126	1	1		
l-C3H2	CRP		H	l-C3H				5000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	127	1	1		
C4H	CRP		H	C4				5000.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	128	1	1		
C4N	CRP		CN	C3				1000.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	129	1	1		
C4P	CRP		C	C3P				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	130	1	1		
C4S	CRP		CS	C3				1500.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	131	1	1		
C5	CRP		C2	C3				850.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	132	1	3		
C5	CRP		C	C4				150.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	133	1	3		
HCOOH	CRP		HCOOH+	e-				650.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	134	1	1		
HCOOH	CRP		OH	HCO				249.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	135	1	1		
CH2PH	CRP		H2	HCP				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	136	1	1		
CH2NH	CRP		H2	HCN				4980.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	137	1	1		
CH4	CRP		H2	CH2				2340.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	138	1	1		
HC3N	CRP		CN	CCH				1720.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	139	1	1		
c-HCCHSi	CRP		H2	c-SiC2				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	140	1	1		
SiC3H	CRP		H	l-SiC3				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	141	1	1		
SiC4	CRP		C2	c-SiC2				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	142	1	1		
SiCH3	CRP		H	SiCH2				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	143	1	1		
SiH4	CRP		H2	SiH2				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	144	1	1		
HC4N	CRP		C2	CH	CN			2000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	145	1	1		
CH3CN	CRP		CN	CH3				4760.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	146	1	1		
CH3CN	CRP		CH3CN+	e-				2240.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	147	1	1		
C2H4	CRP		H2	C2H2				3700.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	148	1	1		
C2H4	CRP		C2H4+	e-				780.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	149	1	1		
CH2CCH	CRP		H	l-C3H2				2500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	150	1	1		
CH2CCH	CRP		H	c-C3H2				2500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	151	1	1		
C4H2	CRP		CCH	CCH				1730.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	152	1	1		
C4H2	CRP		H	C4H				1730.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	153	1	1		
C4H2	CRP		C4H2+	e-				1120.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	154	1	1		
C5H	CRP		H	C5				5000.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	155	1	1		
C5N	CRP		CN	C4				1750.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	156	1	1		
C6	CRP		C2	C4				100.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	157	1	3		
C6	CRP		C3	C3				800.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	158	1	3		
C6	CRP		C	C5				100.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	159	1	3		
CH3OH	CRP		OH	CH3				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	160	1	1		
CH3OH	CRP		H	H2COH+	e-			99.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	161	1	1		
CH3OH	CRP		CH3OH+	e-				1440.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	162	1	1		
CH3CHO	CRP		HCO	CH3				525.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	163	1	1		
CH3CHO	CRP		CO	CH4				525.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	164	1	1		
CH3CHO	CRP		C2H4O+	e-				1120.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	165	1	1		
C2H5	CRP		H	C2H4				1500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	166	1	1		
CH2CHCN	CRP		CN	C2H3				1500.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	167	1	1		
CH3CCH	CRP		H	CH2CCH				3280.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	168	1	1		
CH3CCH	CRP		C3H4+	e-				5300.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	169	1	1		
CH3CCH	CRP		CH2	C2H2				2000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	170	1	1		
C5H2	CRP		H	C5H				1750.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	171	1	1		
C6H	CRP		H	C6				5000.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	172	1	1		
C7	CRP		C2	C5				200.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	173	1	3		
C7	CRP		C3	C4				800.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	174	1	3		
CH3NH2	CRP		H	H	H2	HCN		1410.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	175	1	1		
CH3NH2	CRP		CH3NH2+	e-				1120.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	176	1	1		
HC5N	CRP		CN	C4H				1750.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	177	1	1		
C6H2	CRP		H	C6H				1750.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	178	1	1		
C7H	CRP		H	C7				5000.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	179	1	1		
C7N	CRP		CN	C6				1750.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	180	1	1		
C8	CRP		C3	C5				900.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	181	1	3		
C8	CRP		C4	C4				60.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	182	1	3		
C8	CRP		C	C7				40.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	183	1	3		
CH3C3N	CRP		C3N	CH3				1500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	184	1	1		
CH3CH2OH	CRP		C2H5OH+	e-				2740.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	185	1	1		
C7H2	CRP		H	C7H				1750.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	186	1	1		
C8H	CRP		H	C8				5000.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	187	1	1		
C9	CRP		C2	C7				50.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	188	1	3		
C9	CRP		C3	C6				650.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	189	1	3		
C9	CRP		C4	C5				300.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	190	1	3		
CH3C4H	CRP		CH3	C4H				1500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	191	1	1		
CH3OCH3	CRP		CH3OCH3+	e-				1120.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	192	1	1		
C	CRP		C+	e-				1020.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	193	1	1		
Cl	CRP		Cl+	e-				3000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	194	1	1		
Fe	CRP		Fe+	e-				1500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	195	1	1		
Mg	CRP		Mg+	e-				113.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	196	1	1		
Na	CRP		Na+	e-				17.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	197	1	1		
P	CRP		P+	e-				1500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	198	1	1		
S	CRP		S+	e-				960.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	199	1	1		
Si	CRP		Si+	e-				4230.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	200	1	1		
C2	CRP		C	C				237.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	201	1	2		
CCl	CRP		C	Cl				500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	202	1	1		
CH	CRP		C	H				730.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	203	1	2		
ClO	CRP		Cl	O				500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	204	1	1		
CN	CRP		C	N				10600.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	205	1	2		
CP	CRP		C	P				500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	206	1	1		
CS	CRP		C	S				500.0	0.0	0.0	1.25	0.0	logn	2	-9999.0	9999.0	1	207	1	1		
HCl	CRP		Cl	H				610.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	208	1	1		
HF	CRP		H	F				174.0	0.0	0.0	1.5	0.0	logn	2	-9999.0	9999.0	1	209	1	1		
C10H2	CRP		H	C10H				1750.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	210	1	1		
C11	CRP		C	C10				1000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	211	1	1		
H2CN	CRP		H	HCN				1000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	212	1	1		
CH3CHCH2	CRP		C2H2	CH3	H			3000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	213	1	1		
HCNCC	CRP		CN	CCH				3450.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	214	1	1		
HCCNC	CRP		CN	CCH				3450.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	215	1	1		
HNCCC	CRP		CN	CCH				3450.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	216	1	1		
NH2CN	CRP		CN	NH2				9500.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	217	1	1		
NH2CHO	CRP		HCO	NH2				3000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	218	1	1		
C4H3	CRP		H	C4H2				10000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	219	1	1		
c-C6H6	CRP		CH2CCH	CH2CCH				3000.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	220	1	1		
C2H6	CRP		H2	C2H4				1880.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	221	1	1		
C2H6	CRP		C2H6+	e-				389.0	0.0	0.0	2.0	0.0	logn	2	-9999.0	9999.0	1	222	1	1		
C4H2	Photon		H	C4H				1.9e-09	0.0	1.64	2.0	0.0	logn	3	-9999.0	9999.0	2	223	1	2		
C4H2	Photon		C4H2+	e-				4.6e-10	0.0	2.28	2.0	0.0	logn	3	-9999.0	9999.0	2	224	1	2		
C4H2	Photon		CCH	CCH				1.9e-09	0.0	1.64	2.0	0.0	logn	3	-9999.0	9999.0	2	225	1	2		
C5H	Photon		CCH	C3				1e-11	0.0	1.7	2.0	0.0	logn	3	-9999.0	9999.0	2	226	1	1		
C5H	Photon		C2	c-C3H				5e-12	0.0	1.7	2.0	0.0	logn	3	-9999.0	9999.0	2	227	1	1		
